Place ID	Place Name	Place Owner	Location	Longitude	Latitude
20834	"Trawawool" house	Greater Geelong City	108 Swanston Street GEELONG, Greater Geelong City	144.3644610	-38.1570940
20048	"Vectis"(Former George and Dragon Hotel)	Greater Geelong City	310 Moorabool Street GEELONG, Greater Geelong City	144.3572700	-38.1542290
16174	"Waitaki"	Greater Geelong City	251 Pakington  Street NEWTOWN, Greater Geelong City	144.3466730	-38.1480640
20664	"Wandsworth"	Greater Geelong City	371 Ryrie Street GEELONG, Greater Geelong City	144.3716830	-38.1524980
17813	"Warana"	Greater Geelong City	49 The Esplanade DRUMCONDRA, Greater Geelong City	144.3558670	-38.1312970
112260	"Wharrie", house, 40 Darlington Road, STAWELL	Northern Grampians Shire	40 Darlington Road STAWELL, NORTHERN GRAMPIANS SHIRE	142.78174	-37.04847
15325	"Wimmera	Greater Geelong City	356 Aberdeen Street GEELONG WEST, Greater Geelong City	144.3303500	-38.1446000
20647	"Woodlands"	Greater Geelong City	354 Ryrie Street GEELONG, Greater Geelong City	144.3701690	-38.1524890
21719	"Wooloomanata", Residence	Greater Geelong City	1580 Bacchus Marsh Road CORIO, Greater Geelong City	144.3589620	-38.0666210
26496	"Wurrok"	Greater Geelong City	7 Flinders Parade Barwon Heads, Greater Geelong City	144.4936870	-38.2818660
16605	"Yemoneit", Residence	Greater Geelong City	51 Virginia Street NEWTOWN, Greater Geelong City	144.3474970	-38.1498190
104914	'Allanvale', Allanvale Road, GREAT WESTERN	Northern Grampians Shire	Allanvale Road GREAT WESTERN, NORTHERN GRAMPIANS SHIRE	142.91882	-37.17934
112258	'Alvie', House, 39 Darlington Road, STAWELL	Northern Grampians Shire	39 Darlington Road STAWELL, NORTHERN GRAMPIANS SHIRE	142.78144	-37.04834
16173	'Ariston' child care centre	Greater Geelong City	245 Pakington  Street NEWTOWN, Greater Geelong City	144.3467750	-38.1475160
108180	'Banavie', shearing shed, Donald Stawell Road, MARNOO	Northern Grampians Shire	Donald Stawell Road MARNOO, NORTHERN GRAMPIANS SHIRE	142.87154	-36.6796
104781	'Barrani', Burrum-Lawler Road, BANYENA	Northern Grampians Shire	Burrum-Lawler Road BANYENA, NORTHERN GRAMPIANS SHIRE	142.7317	-36.55022
8297	'BLOWHOLE' DIVERSION CUTTING	Heritage Victoria	 BLOWHOLE TRACK HEPBURN SPRINGS, Hepburn Shire	144.11707	-37.30957
108248	'Bonnie Brae', Avon Plains Road , RICH AVON EAST	Northern Grampians Shire	Avon Plains Road  RICH AVON EAST, NORTHERN GRAMPIANS SHIRE	142.89554	-36.53999
15626	'Bornemouth" - Residence	Greater Geelong City	11 Claremont Avenue NEWTOWN, Greater Geelong City	144.3364130	-38.1516390
104798	'Bryn Avon', Donald -Stawell Road, CALLAWADDA	Northern Grampians Shire	Donald-Stawell Road CALLAWADDA, NORTHERN GRAMPIANS SHIRE	142.78557	-36.81935
108183	'Burrum', Marnoo Raluana Road, MARNOO	Northern Grampians Shire	Marnoo Raluana Road MARNOO, NORTHERN GRAMPIANS SHIRE	142.86906	-36.66872
108184	'Callamar', Marshalls Road, MARNOO	Northern Grampians Shire	Marshalls Road MARNOO, NORTHERN GRAMPIANS SHIRE	142.84937	-36.69792
1149	'CARINYA' LADSONS STORE	Heritage Victoria	2328 BEECHWORTH ROAD TARRAWINGEE, Wangaratta Rural City	146.45055	-36.38921
108227	'Carrs Plains' Homestead, Marnoo West Soldiers Road, MARNOO WEST	Northern Grampians Shire	Marnoo West Soldiers Road MARNOO WEST, NORTHERN GRAMPIANS SHIRE	142.78557	-36.72549
8296	'CHINESE' GARDENS	Heritage Victoria	 OFF TWENTIETH STREET HEPBURN SPRINGS, Hepburn Shire	144.12096	-37.29888
104819	'Dalyenong', Archdale Road , DALYENONG	Northern Grampians Shire	Archdale Road DALYENONG, NORTHERN GRAMPIANS SHIRE	143.40488	-36.79725
112722	'Diamond House' and adjacent house, 24 Seaby Street (corner Prince Street), STAWELL	Northern Grampians Shire	24 Seaby Street  (corner Prince Street) STAWELL, NORTHERN GRAMPIANS SHIRE	142.76808	-37.06007
104805	'Glynwyllyn', Morrl Morrl Road, CAMPBELLS BRIDGE	Northern Grampians Shire	Morrl Morrl Road CAMPBELLS BRIDGE, NORTHERN GRAMPIANS SHIRE	142.8802	-36.96862
6618	'HALFWAY HOUSE' COACH CHANGING STATION	Heritage Victoria	148 MAHONEYS RD LAKE MUNDI, Glenelg Shire	141.08468	-37.57243
105077	'Hermitage' Bed and Breakfast (former Salinger General Store), Main Street (Western Highway), GREAT WESTERN	Northern Grampians Shire	Western Highway GREAT WESTERN, NORTHERN GRAMPIANS SHIRE	142.84261	-37.14563
104803	'Kirkella' Homestead & outbuildings, Kirkella Road, CAMPBELLS BRIDGE	Northern Grampians Shire	Kirkella Road CAMPBELLS BRIDGE, NORTHERN GRAMPIANS SHIRE	142.82253	-36.96307
104773	'Lakeside', Coussens Road, AVON PLAINS	Northern Grampians Shire	Coussens Road AVON PLAINS, NORTHERN GRAMPIANS SHIRE	142.98589	-36.55466
22266	'Maritimo' Fence	Hobsons Bay City	8-9 The Strand WILLIAMSTOWN, Hobsons Bay City 	144.9011500	-37.8583670
104784	'Melrose' Residence, Glenorchy-Donald Road, BANYENA	Northern Grampians Shire	Glenorchy-Donald Road BANYENA, NORTHERN GRAMPIANS SHIRE	142.81654	-36.57223
22275	'Monomeath' - Williamstown & Westbourne Grammar School	Hobsons Bay City	67-68 The Strand WILLIAMSTOWN, Hobsons Bay City	144.8955860	-37.8499410
108545	'Montazah', House, 25 Dundas Street ST ARNAUD,	Northern Grampians Shire	25 Dundas Street ST ARNAUD, NORTHERN GRAMPIANS SHIRE	143.26138	-36.618
108181	'Oak Lea', Donald Stawell Road, MARNOO	Northern Grampians Shire	Donald Stawell Road MARNOO, NORTHERN GRAMPIANS SHIRE	142.87154	-36.6796
112293	'Oonadah', House, 15 Jennings Street, STAWELL	Northern Grampians Shire	15 Jennings Street STAWELL, NORTHERN GRAMPIANS SHIRE	142.77636	-37.0552
